Delay classes,mlp_2_512
1,0.4600932660349523
2,0.46277777006912413
3,0.4770271507665112
4,0.4583611725968776
5,0.4664640458319274
"1,2",0.45903977953997277
"1,3",0.4426892157918082
"1,4",0.4282929466186002
"1,5",0.43600766580705685
"2,3",0.4609623435101466
"2,4",0.4517698899003415
"2,5",0.4480794319113001
"3,4",0.439534875754785
"3,5",0.4657061105663877
"4,5",0.445891667724957
"1,2,3",0.44179499064455907
"1,2,4",0.4324104334428857
"1,2,5",0.43079341821439693
"1,3,4",0.4368398310621033
"1,3,5",0.4242255233960181
"1,4,5",0.4331823311884029
"2,3,4",0.44339996975182244
"2,3,5",0.4519665848886339
"2,4,5",0.44390328166945375
"3,4,5",0.4612644849142646
"1,2,3,4",0.4446330385067817
"1,2,3,5",0.42284820585608424
"1,2,4,5",0.4225700353071143
"1,3,4,5",0.42411157493066265
"2,3,4,5",0.45071870634552424
"1,2,3,4,5",0.41524507063624416
